aX,aY,aZ,gX,gY,gZ
-0.998382092,-0.816422766,4.881777185,10.23664122,-79.70992366,7.541984733
0.565031592,-2.398990063,8.327033374,160.351145,-14.70992366,10.49618321
0.047884033,2.50912334,5.655104321,250.129771,-8.297709924,35.32061069
-0.203507141,12.62941376,-0.459686719,250.129771,-16.28244275,-18.32061069
0.277727393,10.42914243,0.205901343,-2.839694656,-9.335877863,-12.26717557
-0.268150586,14.61660114,-1.072602344,-247.3587786,7.641221374,-0.557251908
-0.679953271,6.430825659,4.872200378,-250.1374046,-1.152671756,10.22900763
0.395043274,-1.098938562,9.006986646,-250.1374046,2.625954198,-20.9389313
-0.052672437,-5.640739111,10.70686982,-8.175572519,-9.320610687,19.96183206
0.07182605,-1.707065784,9.737218152,26.96183206,-3.114503817,-1.702290076
0.067037646,-2.758120313,10.23042369,2.396946565,-3.549618321,5.236641221
0.002394202,-1.984793176,10.21127008,14.16030534,-2.809160305,-1.564885496
-0.131681091,-1.821987463,10.33337437,5.320610687,-3.015267176,-0.984732824
0.062249243,-1.568202087,10.01733975,15.32824427,-0.740458015,-1.015267176
-0.002394202,-1.400607971,8.348581189,21.72519084,7.816793893,0.541984733
-0.521935962,-0.536301172,6.433219861,4.908396947,42.32824427,5.79389313
-9.21528219,0.294486804,3.050212915,-2.221374046,-0.305343511,0.877862595
-9.260772021,0.117315881,3.088520142,9.65648855,-1.923664122,2.007633588
-9.397241516,0.287304199,4.022258789,8.053435115,-4.786259542,6.519083969
-9.560047229,0.514753357,8.573636145,-19.03816794,-36.35114504,-13
-11.52089839,-0.083797058,9.497797986,-45.72519084,-106.4732824,-13.89312977
-11.27429562,-0.715866296,7.807491614,-17.5648855,-146.8931298,-11.73282443
-8.578424548,-0.696712683,7.170633972,-5.763358779,-141.3969466,-18.32061069
-5.173869788,-0.679953271,5.863399866,11.28244275,-105.3664122,-2.389312977
-2.073378638,-0.818816968,6.856993555,-13.52671756,-72.48091603,0.900763359
-0.73501991,-0.979228479,6.313509778,13.42748092,-37.49618321,4.122137405
0.079008655,-2.056619226,9.509768994,21.60305344,-0.557251908,8.618320611
-0.797269153,-2.935291235,10.70208142,239.7709924,-7.816793893,3.816793893
0.181959326,3.746925598,3.1723172,250.129771,-20.64885496,33.93129771
0.136469495,13.34049165,-3.952826941,240.8396947,-36.06870229,-7.183206107
0.007182605,10.33098016,-2.188300317,-81.09923664,-5.893129771,-6.687022901
0.062249243,13.92467686,-2.731784094,-250.1374046,9.534351145,-0.541984733
-0.69192428,5.925649109,4.927267017,-250.1374046,11.33587786,10.00763359
-0.134075293,1.371877551,8.815450513,-250.1374046,-1.671755725,-10.26717557
-0.895431421,-5.772420203,10.01015714,-154.8091603,-6.427480916,-0.030534351
0.081402856,-3.557783667,9.72045874,84.48854962,-0.618320611,9.580152672
-0.397437476,-2.427720483,10.09156,-16.14503817,-2.404580153,1.893129771
-0.263362183,-2.722207288,9.97903252,22.03053435,-2.717557252,-4.541984733
-0.359130249,-1.836352673,9.969455713,5.305343511,-1.801526718,-1.534351145
-0.428562097,-1.91775553,10.13704983,-6.633587786,-2.083969466,-3.129770992
-0.4333505,-2.288856787,9.196128577,15.67938931,-0.809160305,0.030534351
-9.105148914,0.088585461,2.930502832,3.79389313,-0.267175573,-3.022900763
-9.33020387,-0.246602771,4.067748621,3.221374046,-2.427480916,-0.847328244
-9.318232861,-0.660799658,7.261613635,21.54198473,-29.29770992,-16.65648855
-11.2527478,-0.457292517,8.714894043,-40.03816794,-98.75572519,-20.95419847
-11.19289276,-1.563413684,8.434772449,-6.488549618,-137.5343511,-28.35114504
-9.18655177,-1.11090957,6.596025574,31.36641221,-148.8091603,-4.603053435
-5.691017346,-0.725443103,6.390124231,17.81679389,-116.9465649,1.259541985
-2.813186951,-0.960074866,7.18260498,-7.633587786,-85.22137405,-3.854961832
-1.201889233,-1.000776294,6.742071875,-5.839694656,-51.75572519,0.473282443
0.457292517,-1.704671582,8.884882361,35.23664122,-8.86259542,11.96946565
