aX,aY,aZ,gX,gY,gZ
0.550666382,0.055066638,9.967061511,-49.13740458,-24.80916031,-34.29007634
0.167594116,-1.601720911,10.50096848,-53.00763359,-2.86259542,-25.05343511
1.165976208,-2.166752502,9.476250171,-56.60305344,-13.5648855,-35.19847328
1.084573352,-1.187524023,9.346963281,111.6030534,42.22137405,-24.9389313
-0.256179578,2.568978381,9.612719666,-47.24427481,-4.519083969,-46.22137405
0.208295544,-0.629675037,10.76911907,-79.21374046,-3.236641221,-24.38167939
1.221042847,-1.898601917,10.19211647,-94.57251908,3.511450382,-21.2519084
1.338358728,-3.665522742,10.47942067,51.13740458,3.442748092,25.16030534
0.653617053,-1.213860242,10.00297454,212.480916,39.77099237,56.48091603
-0.153228906,1.510741248,11.00375083,52.97709924,10.72519084,10.48854962
0.371101257,1.163582007,9.21528219,-165.0839695,-32.09160305,-13.27480916
0.732625708,-1.968033765,9.696516724,23.77862595,-2.297709924,-13.03816794
0.15801731,-0.651222852,10.26633672,19.48091603,-13.15267176,-31.93129771
0.160411511,-0.466869324,10.3836526,8.93129771,-28.65648855,-10.7480916
0.507570752,-0.821211169,9.916783276,1.458015267,23.19083969,-24.41984733
0.847547388,-0.079008655,10.6685626,35.29007634,-0.72519084,-3.198473282
0.404620081,-0.4333505,10.07480059,8.13740458,-29.36641221,-2.389312977
0.304063611,0.234631763,10.88643495,3.954198473,1.442748092,-5.740458015
0.761356128,-0.318428821,10.0963484,12.11450382,4.717557252,0.755725191
0.615309827,0.481234534,10.07719479,-8.297709924,-12.51908397,-3.282442748
0.797269153,-0.366312854,10.27351932,4.526717557,-2.877862595,-1.27480916
0.682347473,0.251391174,10.24957731,1.236641221,-0.65648855,6.41221374
0.730231506,-0.110133276,10.22324109,3.58778626,0.419847328,3.801526718
0.512359155,0.138863696,10.49378588,2.083969466,-5.732824427,2.809160305
0.730231506,0.040701428,10.34534537,1.58778626,-2.213740458,2.969465649
0.694318481,0.079008655,10.48181487,4.41221374,0.366412214,0.229007634
