aX,aY,aZ,gX,gY,gZ
-0.636857642,-0.5770026,6.813897925,1.183206107,-38.9389313,5.34351145
0.031124622,0.150834705,7.613561279,-2.908396947,-17.67175573,-0.221374046
0.201112939,-0.11492168,9.119514124,-17.84732824,-2.679389313,-8.305343511
-0.146046301,-0.079008655,10.55364092,-27.48854962,-4.893129771,-4.503816794
0.019153613,-0.253785376,10.19451067,4.190839695,-1.648854962,-2.786259542
0.138863696,0.026336218,9.969455713,8.541984733,5.221374046,9.763358779
-0.289698401,-0.031124622,10.48660327,1.358778626,-1.122137405,-0.564885496
-9.083601099,-1.156399402,2.561795776,2.213740458,-22.38167939,0.648854962
-9.318232861,-1.019929907,2.224213342,-6.083969466,-10.47328244,1.923664122
-8.920795386,-1.32638772,5.547365247,-23.45038168,5.053435115,2.541984733
-10.16338605,-1.400607971,10.50096848,-2.603053435,-56.51908397,-5.122137405
-11.75074175,-1.656787549,10.0891658,40,-119.389313,8.977099237
-11.88721124,-0.797269153,8.604760767,34.1221374,-143.1679389,15.81679389
-9.993397729,-0.907402429,7.309497668,16.28244275,-144.8396947,18.09160305
-5.662286926,-0.363918652,5.947196924,38.14503817,-93.28244275,22.41984733
-2.762908716,-0.653617053,5.691017346,0.480916031,-72.90839695,18.27480916
0.404620081,-0.387860669,4.905719202,-12.96183206,-44.97709924,17.7480916
1.043871924,-0.117315881,7.180210779,-8.595419847,-16.7480916,-2.633587786
1.098938562,-0.399831677,9.263166223,-5.145038168,7.419847328,-8.893129771
0.351947644,-0.277727393,10.72841764,-0.709923664,4.755725191,-4.267175573
0.169988318,-0.270544788,10.87925234,-39.32824427,-15.06870229,-2.79389313
0.842758984,-0.761356128,10.34055697,3.694656489,0.083969466,-0.465648855
0.51954176,-0.758961926,10.63504377,-0.541984733,-2.34351145,-3.809160305
-8.848969336,-2.432508887,4.88895979,6.832061069,0.526717557,0.167938931
-8.66701001,-1.948880151,3.83551106,-0.755725191,-6.618320611,3.335877863
-8.767566479,-2.281674182,4.402936853,4.267175573,3.389312977,3.282442748
-8.542511523,-3.026270898,9.476250171,15.70992366,5.770992366,-1.015267176
-11.6813099,-1.273715283,12.57434712,42.90076336,-120.8931298,1.473282443
-12.19127485,-2.46602771,10.8146089,44.70992366,-174.9389313,16.48091603
-9.718064539,-1.462857214,8.264784131,31.20610687,-174.8320611,17.7480916
-5.295974072,-1.479616626,6.382941626,33.80152672,-133.4503817,-2.65648855
-0.629675037,-0.354341846,4.556165759,18.06870229,-60.61068702,5.496183206
1.144428394,0.304063611,5.013458276,-15.0610687,-31.64122137,12.58778626
2.245761157,-0.598550415,7.192181787,-8.13740458,-12.54961832,-10.44274809
1.690306372,-0.17238252,7.766790186,-6.908396947,11.6259542,1.129770992
0.136469495,0.284909998,6.981492041,-16.77099237,0.916030534,11.44274809
-0.011971008,-1.199495032,8.937554797,-9.351145038,52.65648855,16.69465649
-1.843535278,0.943315454,10.98699142,30.19083969,25.58015267,43.76335878
-1.520318054,-0.15801731,10.26394252,34.26717557,19.16793893,30.38931298
-8.779537488,-1.74537301,5.477933398,4.053435115,-4.625954198,-4.152671756
-9.797073193,-1.335964526,11.69088671,39.58778626,-30.85496183,-12.84732824
-11.85848082,-1.965639563,10.95107839,20.58015267,-139.4274809,1.389312977
-11.93270107,-1.778891833,8.588001355,34.45038168,-147.1755725,3.053435115
-9.440337146,-2.025494604,7.438784558,21.05343511,-144.4503817,-9.106870229
-5.406107349,-1.24019646,5.53778844,32.89312977,-106.4503817,-15.61832061
-2.403778467,-0.268150586,6.442796667,16.46564885,-68.22900763,-9.503816794
0.201112939,-0.299275208,6.335057593,-0.79389313,-48.75572519,-0.267175573
1.462857214,-0.174776721,7.371746912,-6.580152672,-8.938931298,-14.81679389
1.003170496,0.064643445,8.690952026,-15.6870229,-5.786259542,-9.221374046
0.658405457,0.440533105,10.64701478,8.06870229,15.13740458,-10.21374046
