Class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10
Right,1.9312977099236600,15.694656488549600,-9.702290076335880,0.16030534351145000,20.14503816793890,-6.854961832061070,-4.984732824427480,109.89312977099200,-0.549618320610687,-38.74809160305340,250.12977099236600,36.74809160305340,-40.36641221374050,250.12977099236600,54.87786259541990,-18.267175572519100,248.6793893129770,53.87022900763360,12.068702290076300,-31.27480916030530,-30.900763358778600,32.656488549618300,-250.13740458015300,-78.90076335877860,32.51908396946570,-250.13740458015300,-85.82442748091600,-8.961832061068700,-50.93893129770990,-22.328244274809200
Left,3.1374045801526700,18.015267175572500,-10.641221374045800,1.83206106870229,30.51145038167940,-8.442748091603050,-1.8473282442748100,45.63358778625950,-10.16793893129770,4.534351145038170,2.0381679389313000,-21.16793893129770,7.9541984732824400,-250.13740458015300,-23.129770992366400,-48.6412213740458,-109.82442748091600,-12.236641221374000,-11.320610687022900,-1.0763358778626000,-14.86259541984730,15.877862595419800,101.57251908396900,-17.748091603053400,0.648854961832061,173.33587786259500,12.381679389313000,-36.916030534351100,238.67175572519100,14.366412213740500
Left,1.366412213740460,41.11450381679390,-9.49618320610687,0.22137404580152700,43.35114503816790,-13.129770992366400,29.81679389312980,-234.96946564885500,-23.03053435114500,-6.366412213740460,-192.93129770992400,-3.564885496183210,-46.725190839694700,-56.62595419847330,-42.16030534351150,18.603053435114500,110.10687022900800,-32.57251908396950,-4.015267175572520,250.12977099236600,17.51145038167940,-32.221374045801500,229.4732824427480,28.236641221374000,-15.923664122137400,75.41221374045800,16.419847328244300,0.5114503816793890,-43.541984732824400,-7.33587786259542
Left,2.198473282442750,15.610687022900800,-9.572519083969470,1.9389312977099200,19.229007633587800,-8.183206106870230,6.229007633587790,-30.633587786259500,-14.641221374045800,32.778625954198500,-250.13740458015300,-21.412213740458000,-27.66412213740460,-83.65648854961830,-17.671755725190800,-39.2442748091603,-43.33587786259540,-34.00763358778630,26.27480916030530,138.12213740458000,-26.458015267175600,-7.114503816793890,250.12977099236600,29.419847328244300,-27.549618320610700,222.94656488549600,36.786259541984700,-22.748091603053400,121.92366412213700,15.618320610687000
Right,0.40458015267175600,13.465648854961800,-9.091603053435120,0.9236641221374050,21.00763358778630,-4.1603053435114500,-1.465648854961830,108.61832061068700,13.67175572519080,-28.35114503816790,250.12977099236600,49.80916030534350,-53.69465648854960,250.12977099236600,67.69465648854960,-19.717557251908400,46.70229007633590,4.847328244274810,26.30534351145040,-146.29770992366400,-47.465648854961800,29.251908396946600,-250.13740458015300,-89.92366412213740,17.30534351145040,-250.13740458015300,-59.908396946564900,-6.267175572519080,29.114503816793900,-20.198473282442700
Right,-0.3282442748091600,18.85496183206110,-8.816793893129770,-1.6946564885496200,26.3206106870229,-4.122137404580150,-10.687022900763400,235.68702290076300,22.427480916030500,-42.44274809160310,250.12977099236600,67.02290076335880,-45.17557251908400,250.12977099236600,91.29770992366410,14.022900763358800,-8.694656488549620,-20.946564885496200,39.70229007633590,-250.13740458015300,-58.404580152671800,16.30534351145040,-250.13740458015300,-98.49618320610690,-0.4351145038167940,-45.00763358778630,-30.374045801526700,-0.4351145038167940,53.69465648854960,-11.732824427480900
NoMove,-2.4885496183206100,20.6793893129771,-12.98473282442750,-0.7404580152671760,22.061068702290100,-7.465648854961830,-3.7251908396946600,29.923664122137400,-17.801526717557300,-1.16793893129771,15.86259541984730,-16.96946564885500,2.6259541984732800,21.908396946564900,-4.305343511450380,-5.145038167938930,-0.3053435114503820,-11.511450381679400,-3.717557251908400,17.587786259542000,-11.51908396946570,-4.175572519083970,19.9618320610687,-15.129770992366400,-4.564885496183210,6.305343511450380,-6.3816793893129800,3.2442748091603100,16.83206106870230,-1.1297709923664100
NoMove,-1.3053435114503800,17.541984732824400,-8.664122137404580,-10.374045801526700,29.458015267175600,-11.801526717557300,-3.282442748091600,29.793893129771000,-13.50381679389310,-0.8625954198473280,16.114503816793900,-7.717557251908400,1.4351145038167900,23.458015267175600,-11.931297709923700,13.83206106870230,-17.557251908396900,-3.5343511450381700,-12.19083969465650,19.374045801526700,-6.633587786259540,-1.5954198473282400,22.38167938931300,-8.267175572519090,1.633587786259540,5.267175572519080,-9.389312977099240,1.9236641221374000,17.061068702290100,-8.198473282442750
NoMove,-1.8396946564885500,19.442748091603100,-10.465648854961800,-4.061068702290080,33.404580152671800,-14.022900763358800,-3.366412213740460,20.061068702290100,5.129770992366410,-1.6946564885496200,22.549618320610700,-16.358778625954200,2.519083969465650,0.183206106870229,-4.938931297709920,-2.0839694656488500,20.671755725190800,-9.725190839694660,-2.236641221374050,23.702290076335900,-6.3816793893129800,-0.9694656488549620,11.793893129771000,-10.030534351145000,2.053435114503820,9.778625954198470,-9.030534351145040,1.1908396946564900,15.488549618320600,-8.206106870229010
Left,2.3435114503816800,21.206106870229000,-11.816793893129800,0.45038167938931300,23.229007633587800,-16.69465648854960,5.061068702290080,-214.21374045801500,-25.297709923664100,-51.68702290076340,-162.16030534351100,-19.328244274809200,-41.48854961832060,-53.88549618320610,-35.37404580152670,12.229007633587800,55.06106870229010,-19.49618320610690,18.83206106870230,172.03053435114500,4.0534351145038200,-15.709923664122100,250.12977099236600,27.46564885496180,-22.358778625954200,184.54961832061100,17.977099236641200,-8.381679389312980,136.5114503816790,15.526717557251900
