Class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,
True, 1.0726023437499999, -9.679757312011718, -3.208230224609375, -0.565031591796875, -9.229647399902344, -3.1459809814453124, -3.5913024902343746, -8.511386901855468, -9.234435803222656, -0.5626373901367188, -13.206416357421874, -5.691017346191406, -6.4667386840820305, -19.6133, 2.427720483398437, -0.14604630126953125, -17.42260548095703, 0.8643067993164062, 1.4939818359375, -4.92247861328125, -3.1747114013671873, -3.2249896362304686, 0.8810662109374999, -0.105344873046875, -8.281543542480469, 0.05985504150390625, -0.49799394531249996, -9.445125549316407, -0.9361328491210937, -1.5059528442382812, -8.846575134277343, -0.3280056274414062, -0.7637503295898437, -9.016563452148437, -0.30406361083984373, -0.8810662109374999, -8.8489693359375, -0.5147533569335937, -0.5530605834960938, -9.014169250488282, -0.5889736083984375, -1.1348515869140625, 
True, -1.189918225097656, -9.832986218261718, -1.7190367919921874, -3.028665100097656, -10.412383020019531, -3.229778039550781, -9.0788126953125, -14.00129130859375, -2.059013427734375, -4.601655590820312, -15.569493395996092, -1.5682020874023437, 0.5219359619140624, -6.873752966308594, -0.1005564697265625, -4.094084838867187, -3.6296097167968746, 0.8403647827148437, -7.4411787597656245, -3.6080619018554687, -0.4165910888671875, -7.922413293457031, -3.373430139160156, -0.8355763793945312, -8.712499841308594, -3.3016040893554686, -0.7852981445312499, -8.47786807861328, -3.327940307617187, -1.0941501586914062, -8.532934716796875, -3.337517114257812, -0.8355763793945312, -8.537723120117187, -3.3590649291992185, -1.0534487304687499, -8.932766394042968, -3.450044592285156, -0.8762778076171874, -8.712499841308594, -3.404554760742187, -0.86191259765625, 
False, -2.4133552734375, -9.612719665527344, -2.2553379638671873, -2.0661960327148434, -9.449913952636718, -1.915361328125, -1.7166425903320313, -9.143456140136719, -2.281674182128906, -1.4820108276367188, -9.543287817382812, -1.235408056640625, -1.235408056640625, -11.295843432617186, -1.189918225097656, -0.8834604125976562, -9.859322436523437, -3.5625720703124997, 0.2705447875976562, -10.168174450683592, -3.679887951660156, -0.040701428222656245, -9.425971936035156, -4.44363828125, -0.35194764404296874, -9.708487731933593, -3.921702319335937, -0.21308394775390624, -10.28549033203125, -3.5913024902343746, 0.5817910034179687, -10.160991845703125, -3.327940307617187, 0.11013327636718749, -11.154585534667968, -2.906560815429687, 0.105344873046875, -9.708487731933593, -0.22026655273437498, 0.46686932373046874, -8.645462194824217, -1.7549498168945312, 
False, -1.7764976318359373, -9.634267480468749, -1.838746875, -1.4891934326171874, -9.373299499511718, -2.3918074584960936, -1.180341418457031, -10.838550915527343, -2.5617957763671875, 0.28012159423828126, -9.579200842285156, -2.559401574707031, -0.17956512451171874, -10.043675964355469, -2.9927520751953125, -0.13646949462890623, -9.550470422363281, -3.5984850952148437, 0.15083470458984374, -9.828197814941406, -4.197035510253906, 0.24660277099609373, -9.746794958496093, -3.766079211425781, 0.06464344482421874, -9.641450085449218, -3.9336733276367184, -0.3064578125, -9.651026892089844, -3.8666356811523435, 0.03591302490234375, -9.375693701171874, -3.9791631591796874, 0.08379705810546874, -9.583989245605467, -3.919308117675781, 0.00239420166015625, -9.581595043945311, -3.9552211425781247, 0.01915361328125, -9.60793126220703, -4.132392065429687, 
False, -9.2320416015625, 0.30885201416015623, -2.3439234252929686, -9.1554271484375, 0.1580173095703125, -2.0159177978515626, -9.119514123535156, 0.4955997436523437, -2.2768857788085937, -9.210493786621093, 0.5099649536132812, -2.272097375488281, -9.09796630859375, 0.469263525390625, -1.915361328125, -9.074024291992187, 0.45968671875, -2.0638018310546875, -9.107543115234375, 0.3758896606445312, -1.8698714965820311, -9.088389501953124, 0.3711012573242187, -2.013523596191406, -9.09796630859375, 0.4381389038085937, -1.9919757812499999, -9.138667736816405, 0.46686932373046874, -2.2601263671875, -9.09796630859375, 0.39983167724609375, -2.123656872558594, -9.093177905273437, 0.5243301635742187, -2.104503259277344, -9.114725720214842, 0.5865794067382812, -2.118868469238281, -9.045293872070312, 0.74699091796875, -2.224213342285156, 
False, -9.428366137695312, 1.2234370483398436, -1.5825672973632812, -9.694122521972655, 0.9504980590820312, -2.398990063476562, -8.789114294433594, 3.227383837890625, -4.678270043945313, -6.806715319824218, 3.8857892944335934, -2.090138049316406, -7.819462622070312, 0.7613561279296874, 0.3758896606445312, -9.849745629882811, -0.5913678100585937, 2.003946789550781, -9.028534460449219, 2.068590234375, -0.07422025146484375, -9.119514123535156, 2.2074539306640624, 0.5770026000976562, -8.89924757080078, 1.4101847778320311, -1.2976572998046874, -8.844180932617187, 2.0542250244140625, -1.0414777221679687, -9.550470422363281, 2.04943662109375, -0.9624690673828125, -9.023746057128905, 2.578555187988281, -0.01915361328125, -9.162609753417968, 2.288856787109375, -0.8643067993164062, -7.9846625366210935, 1.5729904907226562, -1.3072341064453123, 
False, -8.51617530517578, -2.8514941772460936, -1.8842367065429686, -9.342174877929686, -0.4165910888671875, -1.8555062866210936, -6.41646044921875, 0.6871358764648438, -3.5697546752929687, -5.839457849121094, -1.3407529296874998, -5.204994409179688, -5.322310290527343, -9.380482104492186, -4.604049792480469, -4.319139794921875, -9.60793126220703, -10.297461340332031, -4.144363073730468, -8.71489404296875, -12.981361401367186, -0.34715924072265625, -8.200140686035155, -4.723759875488281, -2.0925322509765625, -8.93755479736328, -5.2265422241210935, -1.8076222534179687, -7.924807495117187, -7.017405065917968, -1.2856862915039062, -8.355763793945313, -6.275202551269531, -2.128445275878906, -8.805873706054687, -5.506663818359375, -1.6160861206054686, -8.769960681152343, -5.7700260009765625, -1.62805712890625, -8.927977990722656, -5.2456958374023435, 
True, -0.7996633544921875, -7.599196069335937, -1.4604630126953124, -1.9776105712890624, -9.076418493652342, -2.770091320800781, -5.2073886108398435, -12.497732666015624, -3.450044592285156, -8.008604553222655, -16.929399938964842, 0.8403647827148437, -2.1811177124023438, -16.615759521484375, -1.2904746948242187, -0.5243301635742187, -8.142679846191406, -2.023100402832031, -1.180341418457031, 3.1699229980468746, 0.23702596435546874, -6.0333881835937495, 0.2825157958984375, -3.5769372802734374, -9.045293872070312, 0.29927520751953124, -3.840299462890625, -9.112331518554686, 0.3854664672851562, -3.5146880371093747, -9.212887988281249, -0.11013327636718749, -4.103661645507812, -8.817844714355468, -0.01915361328125, -3.6679169433593746, -9.052476477050782, -0.1197100830078125, -3.6104561035156246, -8.590395556640624, 0.06943184814453125, -3.3446997192382812, 
True, -0.7422025146484375, -9.315838659667968, -1.5514426757812498, -1.0941501586914062, -9.150638745117186, -2.0350714111328125, -1.1109095703125, -9.9981861328125, -2.887407202148437, -9.519345800781249, -15.74905852050781, 0.031124621582031248, -7.46272657470703, -19.6133, -2.499546533203125, 2.3678654418945313, -9.94072529296875, -0.5219359619140624, 0.5506663818359374, -1.6711527587890624, -0.852335791015625, -7.1035963256835934, -0.44532150878906246, -0.4429273071289062, -8.767566479492187, -1.0295067138671874, -1.5131354492187499, -9.253589416503905, -1.3718775512695311, -0.9528922607421875, -9.375693701171874, -1.3742717529296875, -1.2976572998046874, -8.741230261230468, -1.0869675537109373, -1.0486603271484374, -9.114725720214842, -1.1611878051757811, -1.1707646118164061, -9.143456140136719, -1.369483349609375, -0.6488286499023437, 
True, -1.6472107421875, -9.849745629882811, -2.925714428710937, -1.7214309936523438, -9.60793126220703, -2.825157958984375, -1.66636435546875, -10.043675964355469, -2.3630770385742186, -7.71890615234375, -12.555193505859375, 2.480392919921875, -6.5409589355468745, -16.436194396972656, 3.143586779785156, -4.414907861328125, -12.04044014892578, -2.9185318237304685, -1.924938134765625, -4.958391638183594, -0.7254431030273437, -4.453215087890625, -0.22744915771484372, -2.731784094238281, -7.003039855957031, 0.023942016601562498, -2.29843359375, -8.70771143798828, 0.10295067138671875, -2.157175695800781, -8.901641772460938, -0.04548983154296875, -2.2768857788085937, -8.939948999023438, -0.29448680419921874, -2.2840683837890623, -9.591171850585937, -0.5434837768554687, -2.094926452636719, -9.351751684570312, -0.3495534423828125, -1.675941162109375, 
