Class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14
False, -8.604760766601562, -1.0941501586914062, -3.5601778686523438, -8.89924757080078, -1.0103531005859374, -3.5218706420898434, -9.016563452148437, -0.9193734375, -3.6200329101562496, -8.86812294921875, -0.8044517578125, -3.5889082885742187, -8.767566479492187, -1.1875240234375, -3.6487633300781246, -8.736441857910156, -1.0438719238281249, -4.046200805664062, -8.774749084472656, -1.0678139404296874, -3.763685009765625, -8.772354882812499, -0.7781155395507812, -3.5865140869140624, -8.963891015625, -1.0797849487304687, -3.7517140014648436, -8.851363537597656, -0.9074024291992187, -3.816357446289062, -8.757989672851561, -0.8978256225585937, -3.641580725097656, -8.846575134277343, -0.8595183959960937, -3.744531396484375, -8.798691101074219, -0.9121908325195311, -3.892971899414062, -8.901641772460938, -0.8499415893554687, -3.8139632446289062, 
False, -8.801085302734375, -0.86191259765625, -3.2441432495117186, -8.882488159179687, -0.9457096557617187, -3.4620156005859375, -9.083601098632812, -0.7110778930664062, -3.5290532470703124, -8.688557824707031, -0.8355763793945312, -3.1268273681640624, -8.628702783203124, -0.7613561279296874, -3.239354846191406, -8.78432589111328, -0.565031591796875, -3.9839515624999997, -8.303091357421874, -0.7350199096679687, -3.5003228271484375, -9.081206896972656, -0.9648632690429687, -4.012681982421875, -9.090783703613281, -0.7637503295898437, -3.854664672851562, -8.547299926757812, -0.5003881469726562, -4.048595007324218, -8.422801440429687, -0.29927520751953124, -3.361459130859375, -8.801085302734375, -0.4285620971679687, -3.414131567382812, -9.141061938476563, -0.6009446166992187, -4.084508032226562, -8.66940421142578, -0.565031591796875, -1.7693150268554687, 
False, -8.815450512695312, -0.8212111694335937, -3.782838623046875, -8.640673791503906, -0.6344634399414062, -3.3351229125976563, -8.403647827148436, -0.6631938598632812, -4.108450048828125, -8.243236315917969, -0.584185205078125, -3.842693664550781, -8.13310303955078, -0.6727706665039062, -4.357447021484375, -8.231265307617187, -0.2537853759765625, -3.392583752441406, -8.233659509277343, -0.22266075439453123, -3.3207577026367185, -8.221688500976562, -0.3687070556640625, -3.430890979003906, -8.329427575683594, -0.4955997436523437, -3.73495458984375, -8.805873706054687, -0.9026140258789062, -4.797980126953124, -8.82981572265625, -0.9935936889648437, -5.013458276367187, -9.038111267089842, -0.93852705078125, -4.005499377441406, -9.112331518554686, -1.0295067138671874, -4.120421057128906, -9.028534460449219, -0.9145850341796874, -4.141968872070312, 
False, -8.650250598144531, -0.7278373046875, -4.07971962890625, -8.681375219726561, -0.833182177734375, -3.6750995483398436, -8.93755479736328, -1.005564697265625, -5.157110375976562, -8.94473740234375, -0.6584054565429687, -5.260061047363281, -8.461108666992187, -0.8714894042968749, -4.802768530273437, -8.985438830566405, -1.024718310546875, -4.084508032226562, -8.437166650390624, -1.1707646118164061, -5.2265422241210935, -8.657433203124999, -0.9696516723632812, -3.4524387939453125, -8.204929089355469, -0.6368576416015624, -4.513070129394531, -8.511386901855468, -0.814028564453125, -4.525041137695312, -8.688557824707031, -0.6392518432617187, -5.042188696289062, -9.09796630859375, -0.718260498046875, -4.285620971679688, -8.63827958984375, -0.5913678100585937, -4.347870214843749, -8.463502868652343, -0.6464344482421874, -4.309562988281249, 
False, -8.437166650390624, -0.5386953735351562, -4.4005426513671875, -8.231265307617187, -0.3687070556640625, -3.584119885253906, -8.2360537109375, -0.3232172241210937, -5.80354482421875, -8.195352282714843, -0.469263525390625, -5.482721801757812, -8.413224633789062, -0.3495534423828125, -4.584896179199219, -9.0021982421875, -0.5698199951171875, -5.987898352050781, -8.834604125976561, -0.7781155395507812, -6.9910688476562495, -8.858546142578124, -0.8643067993164062, -5.386953735351562, -8.896853369140624, -0.86191259765625, -5.72693037109375, -8.520963708496094, -0.8810662109374999, -5.547365246582031, -8.927977990722656, -0.8475473876953125, -5.925649108886718, -8.652644799804687, -0.6560112548828124, -4.469974499511719, -8.544905725097657, -0.6751648681640625, -4.50109912109375, -8.463502868652343, -0.51714755859375, -3.921702319335937, 
False, -8.530540515136718, -0.6105214233398437, -4.592078784179687, -8.28633194580078, -0.5027823486328125, -4.5322237426757805, -7.960720520019531, -0.5195417602539062, -6.042964990234375, -7.656656909179687, -0.4333505004882812, -5.942408520507812, -8.058882788085937, -1.1133037719726562, -6.189011291503906, -8.377311608886718, -0.8906430175781249, -5.963956335449218, -8.137891442871092, -0.7445967163085937, -4.7884033203125, -7.908048083496094, -0.5746083984375, -3.9504327392578125, -8.061276989746093, -0.86191259765625, -4.177881896972656, -8.305485559082031, -0.9600748657226562, -4.3454760131835934, -8.997409838867187, -1.0319009155273438, -4.879382983398437, -8.611943371582031, -1.2401964599609374, -4.905719201660156, -8.300697155761718, -1.1372457885742187, -4.716577270507813, -8.458714465332031, -0.9457096557617187, -4.7884033203125, 
False, -8.506598498535157, -0.6584054565429687, -4.678270043945313, -8.552088330078124, -0.7254431030273437, -4.695029455566406, -8.157045056152343, -0.5746083984375, -4.273649963378906, -8.109161022949218, -0.9433154541015625, -4.826710546875, -8.870517150878905, -1.1827356201171875, -4.256890551757812, -9.117119921875, -2.0374656127929685, -4.144363073730468, -8.781931689453124, -1.6543933471679686, -3.6942531616210936, -8.769960681152343, -1.5753846923828123, -3.801992236328125, -8.731653454589843, -1.6400281372070311, -3.8091748413085935, -8.626308581542968, -1.6256629272460936, -3.766079211425781, -8.690952026367187, -1.5586252807617187, -3.785232824707031, -8.750807067871094, -1.5801730957031248, -3.7205893798828122, -8.724470849609375, -1.4317325927734375, -3.7158009765625, -8.810662109374999, -1.5897499023437498, -3.5577836669921874, 
False, -8.808267907714843, -1.2401964599609374, -3.8283284545898435, -8.808267907714843, -1.2306196533203124, -3.5625720703124997, -8.595183959960938, -1.388636962890625, -4.367023828124999, -9.004592443847656, -1.5203180541992187, -4.2329485351562495, -8.875305554199219, -1.2617442749023438, -4.151545678710937, -8.695740429687499, -1.4532804077148436, -3.7900212280273435, -8.717288244628906, -1.5227122558593749, -4.027047192382812, -8.705317236328124, -1.4796166259765624, -4.065354418945312, -8.693346228027343, -1.4413093994140624, -3.938461730957031, -8.86812294921875, -1.4796166259765624, -3.9815573608398434, -7.821856823730468, -1.1109095703125, -3.5194764404296874, -8.762778076171875, -1.3072341064453123, -3.6679169433593746, -8.731653454589843, -1.2521674682617188, -3.8283284545898435, -8.8872765625, -1.2234370483398436, -3.708618371582031, 
False, -8.762778076171875, -1.0893617553710937, -4.125209460449218, -8.616731774902343, -1.22583125, -3.564966271972656, -8.473079675292968, -1.0199299072265624, -5.446808776855469, -8.88009395751953, -1.2761094848632812, -3.7134067749023436, -8.360552197265624, -1.2761094848632812, -5.159504577636718, -8.755595471191405, -1.2593500732421874, -3.689464758300781, -8.671798413085938, -1.5753846923828123, -4.3454760131835934, -8.614337573242187, -1.209071838378906, -4.297591979980469, -8.518569506835936, -1.1348515869140625, -4.527435339355469, -8.489839086914062, -1.1611878051757811, -5.274426257324219, -8.693346228027343, -0.9720458740234375, -3.7421371948242186, -8.88009395751953, -1.0031704956054688, -4.077325427246094, -8.506598498535157, -1.0199299072265624, -4.594472985839843, -8.693346228027343, -0.9983820922851562, -4.292803576660156, 
False, -8.63109698486328, -0.8499415893554687, -4.99909306640625, -8.470685473632813, -1.139639990234375, -5.147533569335937, -8.683769421386717, -1.0342951171875, -4.510675927734375, -8.743624462890624, -1.01514150390625, -4.723759875488281, -8.640673791503906, -0.8786720092773437, -4.295197778320312, -8.552088330078124, -1.0103531005859374, -4.608838195800781, -8.473079675292968, -1.0079588989257813, -4.544194750976562, -8.678981018066406, -1.1061211669921875, -4.082113830566406, -8.55448253173828, -1.024718310546875, -4.331110803222656, -8.700528833007812, -1.0534487304687499, -3.900154504394531, -8.693346228027343, -0.55545478515625, -3.5386300537109374, -8.578424548339843, -0.8092401611328125, -4.786009118652344, -8.511386901855468, -1.120486376953125, -3.0933085449218747, -8.705317236328124, -1.2018892333984375, -3.5314474487304683, 
