Class,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14
none,-1.2138602416992200,-9.018957653808590,-1.5634136840820300,-8.741230261230470,-1.8698714965820300,-9.337386474609370,-0.9959878906250000,-9.361328491210940,-1.3910311645507800,-9.196128576660160,-0.8164227661132810,-8.55448253173828,-1.1468225952148400,-8.597578161621090,-1.838746875,-8.827421520996090,-2.8754361938476600,-9.200916979980470,-2.9568390502929700,-9.720458740234370,-2.913743420410160,-10.053252770996100,-2.3511060302734400,-10.211270080566400,-1.687912170410160,-10.065223779296900,-1.455674609375,-9.605537060546870
none,-8.975862023925780,-0.6440402465820310,-9.176974963378910,-0.7613561279296870,-9.081206896972660,-0.7637503295898440,-9.14824454345703,-0.59376201171875,-8.978256225585940,-0.6416460449218750,-8.95670841064453,-0.46686932373046900,-9.062053283691410,-0.6847416748046880,-9.217676391601560,-0.5626373901367190,-9.296685046386720,-0.4572925170898440,-8.736441857910160,-0.63206923828125,-9.150638745117190,-0.699106884765625,-9.145850341796880,-0.7445967163085940,-9.028534460449220,-0.3495534423828130,-9.085995300292970,-0.689530078125
none,-8.647856396484380,-0.5482721801757810,-9.227253198242190,-0.7062894897460940,-9.248801013183590,-0.8738836059570310,-9.167398156738280,-0.6009446166992190,-8.985438830566410,-0.34715924072265600,-8.942343200683590,-0.7805097412109370,-9.227253198242190,-1.0486603271484400,-9.14824454345703,-0.8786720092773440,-9.081206896972660,-0.33518823242187500,-8.456320263671880,-0.34237083740234400,-9.2320416015625,-0.9241618408203130,-9.217676391601560,-0.6943184814453130,-9.179369165039060,-0.16998831787109400,-9.028534460449220,-0.6847416748046880
none,-8.951920007324220,-0.49320554199218700,-9.081206896972660,-0.6248866333007810,-8.748412866210940,-0.6057330200195310,-8.793902697753910,-0.8978256225585940,-9.181763366699220,-1.139639990234380,-9.253589416503910,-0.47165772705078100,-9.004592443847660,-0.2442085693359380,-8.8872765625,-0.4572925170898440,-8.927977990722660,-0.622492431640625,-9.466673364257810,-0.9050082275390620,-9.282319836425780,-0.373495458984375,-8.856151940917970,-0.584185205078125,-8.966285217285160,-0.833182177734375,-9.330203869628910,-0.7709329345703120
none,-9.176974963378910,-0.9265560424804690,-9.34696328125,-0.36631285400390600,-8.781931689453120,-0.6823474731445310,-8.640673791503910,-0.7685387329101560,-8.95670841064453,-0.9361328491210940,-9.241618408203120,-0.8379705810546880,-9.277531433105470,-0.5602431884765630,-8.889670764160160,-0.6296750366210940,-8.882488159179690,-0.9169792358398440,-9.26316622314453,-0.8164227661132810,-8.987833032226560,-0.6751648681640630,-9.203311181640620,-0.33758243408203100,-8.889670764160160,-0.6943184814453130,-8.949525805664060,-0.7158662963867190
none,-8.951920007324220,-0.82360537109375,-9.126696728515620,-0.8451531860351560,-8.614337573242190,-0.9457096557617190,-8.93755479736328,-0.8810662109375000,-9.160215551757810,-0.8020575561523440,-9.088389501953120,-0.6943184814453130,-8.894459167480470,-0.7158662963867190,-8.659827404785160,-0.8930372192382810,-9.004592443847660,-1.0773907470703100,-9.14824454345703,-0.9433154541015630,-9.085995300292970,-0.7398083129882810,-8.717288244628910,-0.6967126831054690,-8.683769421386720,-0.7661445312500000,-9.169792358398440,-1.0199299072265600
raise,-2.9927520751953100,-9.105148913574220,-3.9552211425781200,-8.916006982421880,-8.693346228027340,-10.290278735351600,-9.191340173339840,-11.748347546386700,-10.110713610839800,-13.441048120117200,-7.000645654296880,-13.012486022949200,-5.588066674804690,-11.159373937988300,-4.441244079589840,-6.100425830078130,-3.7110125732421900,-0.076614453125,-2.602497204589840,2.549824768066410,-3.6583401367187500,4.805162731933590,-5.214571215820310,6.339845996093750,-5.877765075683590,6.998251452636720,-6.050147595214840,6.770802294921870
raise,-3.651157531738280,-10.747571252441400,-7.287949853515630,-10.309432348632800,-9.935936889648440,-12.591106530761700,-7.896077075195310,-14.997279199218700,-4.491522314453130,-12.734758630371100,-3.670311145019530,-9.1554271484375,-3.189076611328130,-5.221753820800780,-3.9528269409179700,-1.7477672119140600,-5.104437939453130,1.599326708984380,-6.524199523925780,3.0406361083984400,-7.50821640625,3.5338416503906200,-7.807491613769530,3.9743747558593700,-8.197746484375,3.497928625488280,-8.137891442871090,3.6727053466796900
raise,-4.271255761718750,-10.364498986816400,-8.765172277832030,-11.906364855957000,-10.781090075683600,-14.219163659668000,-6.871358764648440,-14.647725756835900,-4.019864587402340,-11.252747802734400,-2.8419173706054700,-7.161057165527340,-2.6240450195312500,-3.754108203125,-4.393360046386720,0.45489831542968700,-4.786009118652340,3.7612908081054700,-5.5090580200195300,5.394136340332030,-6.349422802734380,5.154716174316410,-7.043741284179690,4.4819455078125,-6.902483386230470,4.53940634765625,-7.331045483398440,4.661510632324220
raise,-7.81467421875,-11.726799731445300,-8.82981572265625,-13.690045092773400,-6.775590698242190,-14.561534497070300,-4.393360046386720,-12.849680310058600,-3.907337109375,-9.074024291992190,-2.6048914062500000,-3.749319799804690,-3.35188232421875,2.04943662109375,-4.924872814941410,3.2130186279296900,-5.95677373046875,5.013458276367190,-6.222530114746090,5.456385583496090,-6.763619689941410,5.76523759765625,-7.316680273437500,5.317521887207030,-7.1778165771484400,5.511452221679690,-7.240065820312500,5.386953735351560
raise,-2.4756045166015600,-10.156203442382800,-2.3582886352539100,-9.938331091308590,-3.469198205566410,-10.237606298828100,-9.536105212402340,-11.724405529785200,-10.51533369140630,-16.54153927001950,-6.612784985351560,-17.12811867675780,-3.612850305175780,-13.713987109375,-1.4173673828125,-9.576806640625,-2.212242333984380,-3.84987626953125,-1.7238251953125,2.760514514160160,-3.3327287109375,6.311115576171880,-5.386953735351560,6.947973217773440,-5.868188269042970,6.526593725585940,-6.174646081542970,6.49307490234375
