Class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14
FALSE,-8.815450512695310,-0.8212111694335940,-3.782838623046880,-8.640673791503910,-0.6344634399414060,-3.3351229125976600,-8.403647827148440,-0.6631938598632810,-4.108450048828130,-8.243236315917970,-0.584185205078125,-3.842693664550780,-8.13310303955078,-0.6727706665039060,-4.357447021484380,-8.231265307617190,-0.2537853759765630,-3.392583752441410,-8.233659509277340,-0.22266075439453100,-3.3207577026367200,-8.221688500976560,-0.3687070556640630,-3.430890979003910,-8.329427575683590,-0.4955997436523440,-3.73495458984375,-8.805873706054690,-0.9026140258789060,-4.797980126953120,-8.82981572265625,-0.9935936889648440,-5.013458276367190,-9.038111267089840,-0.93852705078125,-4.005499377441410,-9.112331518554690,-1.0295067138671900,-4.120421057128910,-9.028534460449220,-0.9145850341796870,-4.141968872070310
FALSE,-8.650250598144530,-0.7278373046875,-4.07971962890625,-8.681375219726560,-0.833182177734375,-3.6750995483398400,-8.93755479736328,-1.005564697265630,-5.157110375976560,-8.94473740234375,-0.6584054565429690,-5.260061047363280,-8.461108666992190,-0.8714894042968750,-4.802768530273440,-8.985438830566410,-1.024718310546880,-4.084508032226560,-8.437166650390620,-1.1707646118164100,-5.2265422241210900,-8.657433203125000,-0.9696516723632810,-3.4524387939453100,-8.204929089355470,-0.6368576416015620,-4.513070129394530,-8.511386901855470,-0.814028564453125,-4.525041137695310,-8.688557824707030,-0.6392518432617190,-5.042188696289060,-9.09796630859375,-0.718260498046875,-4.285620971679690,-8.63827958984375,-0.5913678100585940,-4.347870214843750,-8.463502868652340,-0.6464344482421870,-4.309562988281250
FALSE,-8.437166650390620,-0.5386953735351560,-4.4005426513671900,-8.231265307617190,-0.3687070556640630,-3.584119885253910,-8.2360537109375,-0.3232172241210940,-5.80354482421875,-8.195352282714840,-0.469263525390625,-5.482721801757810,-8.413224633789060,-0.3495534423828130,-4.584896179199220,-9.0021982421875,-0.5698199951171880,-5.987898352050780,-8.834604125976560,-0.7781155395507810,-6.9910688476562500,-8.858546142578120,-0.8643067993164060,-5.386953735351560,-8.896853369140620,-0.86191259765625,-5.72693037109375,-8.520963708496090,-0.8810662109375000,-5.547365246582030,-8.927977990722660,-0.8475473876953130,-5.925649108886720,-8.652644799804690,-0.6560112548828120,-4.469974499511720,-8.544905725097660,-0.6751648681640630,-4.50109912109375,-8.463502868652340,-0.51714755859375,-3.921702319335940
FALSE,-8.530540515136720,-0.6105214233398440,-4.592078784179690,-8.28633194580078,-0.5027823486328130,-4.5322237426757800,-7.960720520019530,-0.5195417602539060,-6.042964990234380,-7.656656909179690,-0.4333505004882810,-5.942408520507810,-8.058882788085940,-1.1133037719726600,-6.189011291503910,-8.377311608886720,-0.8906430175781250,-5.963956335449220,-8.137891442871090,-0.7445967163085940,-4.7884033203125,-7.908048083496090,-0.5746083984375,-3.9504327392578100,-8.061276989746090,-0.86191259765625,-4.177881896972660,-8.305485559082030,-0.9600748657226560,-4.3454760131835900,-8.997409838867190,-1.0319009155273400,-4.879382983398440,-8.611943371582030,-1.2401964599609400,-4.905719201660160,-8.300697155761720,-1.1372457885742200,-4.716577270507810,-8.458714465332030,-0.9457096557617190,-4.7884033203125
FALSE,-8.506598498535160,-0.6584054565429690,-4.678270043945310,-8.552088330078120,-0.7254431030273440,-4.695029455566410,-8.157045056152340,-0.5746083984375,-4.273649963378910,-8.109161022949220,-0.9433154541015630,-4.826710546875,-8.870517150878910,-1.1827356201171900,-4.256890551757810,-9.117119921875,-2.0374656127929700,-4.144363073730470,-8.781931689453120,-1.6543933471679700,-3.6942531616210900,-8.769960681152340,-1.5753846923828100,-3.801992236328130,-8.731653454589840,-1.6400281372070300,-3.8091748413085900,-8.626308581542970,-1.6256629272460900,-3.766079211425780,-8.690952026367190,-1.5586252807617200,-3.785232824707030,-8.750807067871090,-1.5801730957031200,-3.7205893798828100,-8.724470849609380,-1.4317325927734400,-3.7158009765625,-8.810662109375000,-1.5897499023437500,-3.5577836669921900
FALSE,-8.808267907714840,-1.2401964599609400,-3.8283284545898400,-8.808267907714840,-1.2306196533203100,-3.5625720703125000,-8.595183959960940,-1.388636962890630,-4.367023828125000,-9.004592443847660,-1.5203180541992200,-4.2329485351562500,-8.875305554199220,-1.2617442749023400,-4.151545678710940,-8.695740429687500,-1.4532804077148400,-3.7900212280273400,-8.717288244628910,-1.5227122558593700,-4.027047192382810,-8.705317236328120,-1.4796166259765600,-4.065354418945310,-8.693346228027340,-1.4413093994140600,-3.938461730957030,-8.86812294921875,-1.4796166259765600,-3.9815573608398400,-7.821856823730470,-1.1109095703125,-3.5194764404296900,-8.762778076171880,-1.3072341064453100,-3.6679169433593700,-8.731653454589840,-1.2521674682617200,-3.8283284545898400,-8.8872765625,-1.2234370483398400,-3.708618371582030
FALSE,-8.762778076171880,-1.0893617553710900,-4.125209460449220,-8.616731774902340,-1.22583125,-3.564966271972660,-8.473079675292970,-1.0199299072265600,-5.446808776855470,-8.88009395751953,-1.2761094848632800,-3.7134067749023400,-8.360552197265620,-1.2761094848632800,-5.159504577636720,-8.755595471191410,-1.2593500732421900,-3.689464758300780,-8.671798413085940,-1.5753846923828100,-4.3454760131835900,-8.614337573242190,-1.209071838378910,-4.297591979980470,-8.518569506835940,-1.1348515869140600,-4.527435339355470,-8.489839086914060,-1.1611878051757800,-5.274426257324220,-8.693346228027340,-0.9720458740234380,-3.7421371948242200,-8.88009395751953,-1.0031704956054700,-4.077325427246090,-8.506598498535160,-1.0199299072265600,-4.594472985839840,-8.693346228027340,-0.9983820922851560,-4.292803576660160
FALSE,-8.63109698486328,-0.8499415893554690,-4.99909306640625,-8.470685473632810,-1.139639990234380,-5.147533569335940,-8.683769421386720,-1.0342951171875,-4.510675927734380,-8.743624462890620,-1.01514150390625,-4.723759875488280,-8.640673791503910,-0.8786720092773440,-4.295197778320310,-8.552088330078120,-1.0103531005859400,-4.608838195800780,-8.473079675292970,-1.0079588989257800,-4.544194750976560,-8.678981018066410,-1.1061211669921900,-4.082113830566410,-8.55448253173828,-1.024718310546880,-4.331110803222660,-8.700528833007810,-1.0534487304687500,-3.900154504394530,-8.693346228027340,-0.55545478515625,-3.5386300537109400,-8.578424548339840,-0.8092401611328130,-4.786009118652340,-8.511386901855470,-1.120486376953130,-3.0933085449218700,-8.705317236328120,-1.2018892333984400,-3.5314474487304700
FALSE,-8.736441857910160,-0.928950244140625,-4.000710974121090,-8.702923034667970,-1.1563994018554700,-3.907337109375,-8.429984045410160,-1.120486376953130,-4.024652990722660,-8.456320263671880,-1.1276689819335900,-5.125985754394530,-8.86812294921875,-1.4508862060546900,-2.5953145996093700,-8.456320263671880,-1.2856862915039100,-2.583343591308590,-8.865728747558590,-1.0965443603515600,-3.6343981201171900,-8.674192614746090,-0.9792284790039060,-4.649539624023440,-8.501810095214840,-1.149216796875,-5.1714755859375000,-8.501810095214840,-0.7158662963867190,-4.917690209960940,-8.712499841308590,-1.5227122558593700,-4.218583325195310,-8.765172277832030,-1.2234370483398400,-3.6056677001953100,-8.542511523437500,-0.7781155395507810,-4.7189714721679700,-8.750807067871090,-0.97683427734375,-4.7955859252929700
FALSE,-8.616731774902340,-0.9792284790039060,-4.00310517578125,-8.75320126953125,-1.2880804931640600,-4.824316345214840,-8.858546142578120,-1.4317325927734400,-3.5482068603515600,-8.82263311767578,-0.7015010864257810,-5.0948611328125000,-8.14028564453125,-0.8044517578125,-5.1331683593750000,-8.870517150878910,-0.7876923461914060,-4.410119458007810,-8.398859423828120,-0.7613561279296870,-3.4261025756835900,-8.281543542480470,-1.1420341918945300,-5.0014872680664100,-8.640673791503910,-1.0965443603515600,-4.280832568359380,-8.712499841308590,-1.1540052001953100,-3.775656018066410,-8.437166650390620,-1.0414777221679700,-4.572925170898440,-8.595183959960940,-0.9720458740234380,-4.6639048339843700,-8.722076647949220,-0.9552864624023440,-4.57771357421875,-8.492233288574220,-0.9313444458007810,-4.458003491210940
